PID,BaseAddress,RegionSize,Protection
664,0x00000000,0x7ffe0000,No Access
664,0x7FFE1000,0xa000,No Access
664,0x7FFEC000,0x80004000,No Access
768,0x00000000,0x7ffe0000,No Access
768,0x7FFE1000,0xa000,No Access
768,0x7FFEC000,0x80004000,No Access
876,0x00000000,0x7ffe0000,No Access
876,0x7FFE1000,0xa000,No Access
876,0x7FFEC000,0x80004000,No Access
900,0x00000000,0x7ffe0000,No Access
900,0x7FFE1000,0xa000,No Access
900,0x7FFEC000,0x80004000,No Access
904,0x00000000,0x7ffe0000,No Access
904,0x7FFE1000,0xa000,No Access
904,0x7FFEC000,0x80004000,No Access
1000,0x00000000,0x7ffe0000,No Access
1000,0x7FFE1000,0xa000,No Access
1000,0x7FFEC000,0x80004000,No Access
420,0x00000000,0x7ffe0000,No Access
420,0x7FFE1000,0xa000,No Access
420,0x7FFEC000,0x80004000,No Access
504,0x00000000,0x7ffe0000,No Access
504,0x7FFE1000,0xa000,No Access
504,0x7FFEC000,0x80004000,No Access
1084,0x00000000,0x7ffe0000,No Access
1084,0x7FFE1000,0xa000,No Access
1084,0x7FFEC000,0x80004000,No Access
1092,0x00000000,0x7ffe0000,No Access
1092,0x7FFE1000,0xa000,No Access
1092,0x7FFEC000,0x80004000,No Access
1100,0x00000000,0x7ffe0000,No Access
1100,0x7FFE1000,0xa000,No Access
1100,0x7FFEC000,0x80004000,No Access
1108,0x00000000,0x7ffe0000,No Access
1108,0x7FFE1000,0xa000,No Access
1108,0x7FFEC000,0x80004000,No Access
1184,0x00000000,0x7ffe0000,No Access
1184,0x7FFE1000,0xa000,No Access
1184,0x7FFEC000,0x80004000,No Access
1192,0x00000000,0x7ffe0000,No Access
1192,0x7FFE1000,0xa000,No Access
1192,0x7FFEC000,0x80004000,No Access
1328,0x00000000,0x7ffe0000,No Access
1328,0x7FFE1000,0xa000,No Access
1328,0x7FFEC000,0x80004000,No Access
1364,0x00000000,0x7ffe0000,No Access
1364,0x7FFE1000,0xa000,No Access
1364,0x7FFEC000,0x80004000,No Access
1380,0x00000000,0x7ffe0000,No Access
1380,0x7FFE1000,0xa000,No Access
1380,0x7FFEC000,0x80004000,No Access
1412,0x00000000,0x7ffe0000,No Access
1412,0x7FFE1000,0xa000,No Access
1412,0x7FFEC000,0x80004000,No Access
1460,0x00000000,0x7ffe0000,No Access
1460,0x7FFE1000,0xa000,No Access
1460,0x7FFEC000,0x80004000,No Access
1472,0x00000000,0x7ffe0000,No Access
1472,0x7FFE1000,0xa000,No Access
1472,0x7FFEC000,0x80004000,No Access
1736,0x00000000,0x7ffe0000,No Access
1736,0x7FFE1000,0xa000,No Access
1736,0x7FFEC000,0x80004000,No Access
1784,0x00000000,0x7ffe0000,No Access
1784,0x7FFE1000,0xa000,No Access
1784,0x7FFEC000,0x80004000,No Access
1796,0x00000000,0x7ffe0000,No Access
1796,0x7FFE1000,0xa000,No Access
1796,0x7FFEC000,0x80004000,No Access
1804,0x00000000,0x7ffe0000,No Access
1804,0x7FFE1000,0xa000,No Access
1804,0x7FFEC000,0x80004000,No Access
1812,0x00000000,0x7ffe0000,No Access
1812,0x7FFE1000,0xa000,No Access
1812,0x7FFEC000,0x80004000,No Access
1936,0x00000000,0x7ffe0000,No Access
1936,0x7FFE1000,0xa000,No Access
1936,0x7FFEC000,0x80004000,No Access
1960,0x00000000,0x7ffe0000,No Access
1960,0x7FFE1000,0xa000,No Access
1960,0x7FFEC000,0x80004000,No Access
1972,0x00000000,0x7ffe0000,No Access
1972,0x7FFE1000,0xa000,No Access
1972,0x7FFEC000,0x80004000,No Access
2044,0x00000000,0x7ffe0000,No Access
2044,0x7FFE1000,0xa000,No Access
2044,0x7FFEC000,0x80004000,No Access
2080,0x00000000,0x7ffe0000,No Access
2080,0x7FFE1000,0xa000,No Access
2080,0x7FFEC000,0x80004000,No Access
